feedback,category
I noticed that i really enjoy using this app for improved experience.,Compliment
The features are very useful. Especially on android devices.,Compliment
I noticed that video playback keeps buffering in the next update.,Complaint
Please add file sharing feature and it happens every day.,Feature Request
Please add file sharing feature. During peak usage time.,Feature Request
I noticed that the application is too slow for improved experience.,Complaint
Add WhatsApp login support and it should be fixed for better usability.,Feature Request
Add payment history section which is very frustrating.,Feature Request
Excellent performance overall for better usability.,Compliment
I noticed that i love the ui design during peak usage time.,Compliment
I noticed that need custom notification settings because it affects daily usage.,Feature Request
OTP is not received on time and it should be fixed as soon as possible.,Complaint
Great improvement after the update. In the next update.,Compliment
Video playback keeps buffering and it should be fixed during peak usage time.,Complaint
I noticed that the app works perfectly because it affects daily usage.,Compliment
Please add AI chatbot assistance and it should be fixed and it happens every day.,Feature Request
"Add payment history section, please resolve this and it happens every day.",Feature Request
I noticed that please provide chat support in the next update.,Feature Request
The latest update introduced bugs. For improved experience.,Complaint
"This app saves a lot of time, please resolve this for better usability.",Compliment
Very smooth experience for improved experience.,Compliment
"The application is too slow, please resolve this because it affects daily usage.",Complaint
"Excellent performance overall, please resolve this for all users.",Compliment
Video playback keeps buffering for better usability.,Complaint
"Login page is not working properly, please resolve this for improved experience.",Complaint
The app freezes frequently especially on Android devices.,Complaint
I noticed that the application is too slow which is very frustrating.,Complaint
OTP is not received on time. Which is very frustrating.,Complaint
Customer support was helpful and it should be fixed because it affects daily usage.,Compliment
Customer support was helpful and it should be fixed in the next update.,Compliment
"The application is amazing, please resolve this during peak usage time.",Compliment
"Need custom notification settings, please resolve this for improved experience.",Feature Request
I noticed that notifications are delayed and it happens every day.,Complaint
The latest update introduced bugs because it affects daily usage.,Complaint
Customer support was helpful and it should be fixed for better usability.,Compliment
I noticed that everything works seamlessly for all users.,Compliment
Fantastic user experience. During peak usage time.,Compliment
"I really enjoy using this app, please resolve this during peak usage time.",Compliment
I really enjoy using this app as soon as possible.,Compliment
Add fingerprint authentication for better usability.,Feature Request
OTP is not received on time and it should be fixed in the next update.,Complaint
"Customer support never replies, please resolve this as soon as possible.",Complaint
I noticed that please add dark mode for improved experience.,Feature Request
Add export to PDF option and it should be fixed for all users.,Feature Request
Fast and responsive interface. Because it affects daily usage.,Compliment
I noticed that video playback keeps buffering which is very frustrating.,Complaint
I noticed that need personalized recommendations especially on Android devices.,Feature Request
I cannot upload my documents and it should be fixed for all users.,Complaint
The app crashes when I open it. Because it affects daily usage.,Complaint
I noticed that customer support was helpful for all users.,Compliment
Add payment history section and it should be fixed for improved experience.,Feature Request
Add fingerprint authentication. For all users.,Feature Request
This app saves a lot of time and it should be fixed for all users.,Compliment
"Payment gateway failed again, please resolve this as soon as possible.",Complaint
The application is too slow because it affects daily usage.,Complaint
OTP is not received on time. And it happens every day.,Complaint
"The features are very useful, please resolve this during peak usage time.",Compliment
Customer support never replies because it affects daily usage.,Complaint
Fantastic user experience and it should be fixed during peak usage time.,Compliment
I noticed that i love the ui design and it happens every day.,Compliment
OTP is not received on time. Because it affects daily usage.,Complaint
I noticed that add payment history section in the next update.,Feature Request
"Customer support was helpful, please resolve this which is very frustrating.",Compliment
The design looks professional especially on Android devices.,Compliment
Very smooth experience because it affects daily usage.,Compliment
Customer support never replies. Especially on android devices.,Complaint
"Fantastic user experience, please resolve this which is very frustrating.",Compliment
Need personalized recommendations for improved experience.,Feature Request
Please add file sharing feature. Especially on android devices.,Feature Request
The app crashes when I open it. During peak usage time.,Complaint
"Profile update is failing, please resolve this especially on Android devices.",Complaint
Need offline access support and it should be fixed for improved experience.,Feature Request
I noticed that the features are very useful during peak usage time.,Compliment
Login page is not working properly and it should be fixed in the next update.,Complaint
The application is amazing which is very frustrating.,Compliment
Please include voice search and it should be fixed and it happens every day.,Feature Request
Please provide chat support for all users.,Feature Request
I really enjoy using this app in the next update.,Compliment
"The app crashes when I open it, please resolve this because it affects daily usage.",Complaint
Need multilingual support and it should be fixed and it happens every day.,Feature Request
"Please add file sharing feature, please resolve this because it affects daily usage.",Feature Request
Everything works seamlessly. For improved experience.,Compliment
Very smooth experience and it should be fixed in the next update.,Compliment
Payment gateway failed again. During peak usage time.,Complaint
I noticed that add whatsapp login support and it happens every day.,Feature Request
Face authentication is not working which is very frustrating.,Complaint
"Need personalized recommendations, please resolve this especially on Android devices.",Feature Request
Please add AI chatbot assistance. And it happens every day.,Feature Request
Add payment history section and it should be fixed because it affects daily usage.,Feature Request
This app saves a lot of time and it happens every day.,Compliment
"I really enjoy using this app, please resolve this which is very frustrating.",Compliment
"Please add AI chatbot assistance, please resolve this in the next update.",Feature Request
Profile update is failing and it happens every day.,Complaint
"The design looks professional, please resolve this especially on Android devices.",Compliment
"Video playback keeps buffering, please resolve this especially on Android devices.",Complaint
Video playback keeps buffering and it should be fixed especially on Android devices.,Complaint
Video playback keeps buffering during peak usage time.,Complaint
The app logs me out automatically for better usability.,Complaint
"Please provide chat support, please resolve this for better usability.",Feature Request
OTP is not received on time and it should be fixed for all users.,Complaint
Customer support never replies. Especially on android devices.,Complaint
I love the UI design as soon as possible.,Compliment
I noticed that the features are very useful because it affects daily usage.,Compliment
Customer support was helpful and it should be fixed and it happens every day.,Compliment
Add fingerprint authentication. Which is very frustrating.,Feature Request
"The app crashes when I open it, please resolve this during peak usage time.",Complaint
The app crashes when I open it. For better usability.,Complaint
Add cloud backup feature and it should be fixed for improved experience.,Feature Request
I noticed that i really enjoy using this app for better usability.,Compliment
"The latest update introduced bugs, please resolve this as soon as possible.",Complaint
"Payment gateway failed again, please resolve this especially on Android devices.",Complaint
Please include voice search and it should be fixed which is very frustrating.,Feature Request
I noticed that everything works seamlessly in the next update.,Compliment
Need calendar integration. Especially on android devices.,Feature Request
"This app saves a lot of time, please resolve this and it happens every day.",Compliment
Great improvement after the update. For improved experience.,Compliment
Add fingerprint authentication. During peak usage time.,Feature Request
Navigation is very simple. Which is very frustrating.,Compliment
Need personalized recommendations. In the next update.,Feature Request
I noticed that the application is too slow during peak usage time.,Complaint
The app crashes when I open it in the next update.,Complaint
"Need multilingual support, please resolve this as soon as possible.",Feature Request
I noticed that face authentication is not working because it affects daily usage.,Complaint
Please provide chat support. For all users.,Feature Request
Excellent performance overall. For improved experience.,Compliment
"Profile update is failing, please resolve this and it happens every day.",Complaint
"This app saves a lot of time, please resolve this which is very frustrating.",Compliment
I noticed that the application is amazing which is very frustrating.,Compliment
Add export to PDF option and it should be fixed for improved experience.,Feature Request
"Need custom notification settings, please resolve this for all users.",Feature Request
Face authentication is not working and it should be fixed because it affects daily usage.,Complaint
"Face authentication is not working, please resolve this especially on Android devices.",Complaint
Very smooth experience. Especially on android devices.,Compliment
Add cloud backup feature and it should be fixed because it affects daily usage.,Feature Request
"The app logs me out automatically, please resolve this in the next update.",Complaint
Excellent performance overall which is very frustrating.,Compliment
I noticed that payment gateway failed again in the next update.,Complaint
I noticed that face authentication is not working for all users.,Complaint
I noticed that please add ai chatbot assistance for improved experience.,Feature Request
Customer support was helpful and it should be fixed which is very frustrating.,Compliment
Please provide chat support. For all users.,Feature Request
"Add WhatsApp login support, please resolve this especially on Android devices.",Feature Request
I noticed that need custom notification settings during peak usage time.,Feature Request
Excellent performance overall and it should be fixed for all users.,Compliment
I noticed that excellent performance overall for improved experience.,Compliment
I noticed that great improvement after the update as soon as possible.,Compliment
The app crashes when I open it. Especially on android devices.,Complaint
I noticed that the application is amazing for all users.,Compliment
Need calendar integration and it should be fixed especially on Android devices.,Feature Request
"The latest update introduced bugs, please resolve this and it happens every day.",Complaint
I love the UI design. Especially on android devices.,Compliment
"The application is too slow, please resolve this for all users.",Complaint
Fantastic user experience. Because it affects daily usage.,Compliment
The design looks professional and it should be fixed and it happens every day.,Compliment
The design looks professional for better usability.,Compliment
I noticed that please provide chat support for all users.,Feature Request
Please include voice search and it should be fixed for all users.,Feature Request
Please add file sharing feature for all users.,Feature Request
Fantastic user experience because it affects daily usage.,Compliment
I noticed that search functionality is broken for all users.,Complaint
This app saves a lot of time. In the next update.,Compliment
Please add dark mode for all users.,Feature Request
Need custom notification settings. During peak usage time.,Feature Request
I noticed that fast and responsive interface for all users.,Compliment
The app logs me out automatically and it should be fixed and it happens every day.,Complaint
This app saves a lot of time. As soon as possible.,Compliment
Please provide chat support and it should be fixed because it affects daily usage.,Feature Request
This app saves a lot of time. For better usability.,Compliment
I noticed that profile update is failing for improved experience.,Complaint
Profile update is failing and it happens every day.,Complaint
Login page is not working properly. Especially on android devices.,Complaint
"Notifications are delayed, please resolve this especially on Android devices.",Complaint
I noticed that please add file sharing feature during peak usage time.,Feature Request
"Video playback keeps buffering, please resolve this because it affects daily usage.",Complaint
I noticed that add export to pdf option in the next update.,Feature Request
Login page is not working properly. And it happens every day.,Complaint
Add export to PDF option and it should be fixed for better usability.,Feature Request
The app works perfectly and it should be fixed for better usability.,Compliment
The app works perfectly. During peak usage time.,Compliment
"I love the UI design, please resolve this in the next update.",Compliment
Customer support was helpful and it happens every day.,Compliment
The design looks professional. Because it affects daily usage.,Compliment
"Login page is not working properly, please resolve this for all users.",Complaint
Notifications are delayed for better usability.,Complaint
The app crashes when I open it. For all users.,Complaint
Please include voice search. Especially on android devices.,Feature Request
Excellent performance overall and it should be fixed in the next update.,Compliment
Please include voice search and it should be fixed which is very frustrating.,Feature Request
Navigation is very simple for all users.,Compliment
"Video playback keeps buffering, please resolve this for improved experience.",Complaint
"Very smooth experience, please resolve this in the next update.",Compliment
Video playback keeps buffering. For all users.,Complaint
"Customer support was helpful, please resolve this and it happens every day.",Compliment
I really enjoy using this app and it should be fixed because it affects daily usage.,Compliment
The latest update introduced bugs and it should be fixed for better usability.,Complaint
Add fingerprint authentication and it should be fixed and it happens every day.,Feature Request
Everything works seamlessly which is very frustrating.,Compliment
I noticed that need multilingual support and it happens every day.,Feature Request
Profile update is failing and it should be fixed because it affects daily usage.,Complaint
The latest update introduced bugs and it should be fixed in the next update.,Complaint
Fast and responsive interface and it should be fixed as soon as possible.,Compliment
Notifications are delayed. In the next update.,Complaint
I noticed that the app works perfectly and it happens every day.,Compliment
Face authentication is not working. For improved experience.,Complaint
I love the UI design and it should be fixed during peak usage time.,Compliment
The app crashes when I open it. For all users.,Complaint
"Payment gateway failed again, please resolve this for improved experience.",Complaint
OTP is not received on time and it should be fixed because it affects daily usage.,Complaint
I noticed that add payment history section and it happens every day.,Feature Request
Profile update is failing. For all users.,Complaint
"Fast and responsive interface, please resolve this during peak usage time.",Compliment
I noticed that need personalized recommendations in the next update.,Feature Request
I noticed that the app logs me out automatically as soon as possible.,Complaint
"Please add file sharing feature, please resolve this as soon as possible.",Feature Request
I noticed that the design looks professional in the next update.,Compliment
Customer support never replies. Because it affects daily usage.,Complaint
The app crashes when I open it. Which is very frustrating.,Complaint
"Video playback keeps buffering, please resolve this especially on Android devices.",Complaint
OTP is not received on time. For all users.,Complaint
"Everything works seamlessly, please resolve this during peak usage time.",Compliment
The application is too slow. Which is very frustrating.,Complaint
I cannot upload my documents. During peak usage time.,Complaint
"The features are very useful, please resolve this which is very frustrating.",Compliment
Please add AI chatbot assistance. As soon as possible.,Feature Request
Everything works seamlessly and it should be fixed and it happens every day.,Compliment
I cannot upload my documents. As soon as possible.,Complaint
Need custom notification settings and it happens every day.,Feature Request
Excellent performance overall as soon as possible.,Compliment
Need multilingual support and it should be fixed for better usability.,Feature Request
Please add AI chatbot assistance and it should be fixed because it affects daily usage.,Feature Request
OTP is not received on time. And it happens every day.,Complaint
I noticed that fantastic user experience because it affects daily usage.,Compliment
I noticed that customer support never replies which is very frustrating.,Complaint
Add cloud backup feature and it should be fixed because it affects daily usage.,Feature Request
The app logs me out automatically and it should be fixed for better usability.,Complaint
Please include voice search and it should be fixed and it happens every day.,Feature Request
Please add dark mode for all users.,Feature Request
Login page is not working properly. For all users.,Complaint
I really enjoy using this app for better usability.,Compliment
This app saves a lot of time as soon as possible.,Compliment
Video playback keeps buffering. Which is very frustrating.,Complaint
Need multilingual support during peak usage time.,Feature Request
Add fingerprint authentication during peak usage time.,Feature Request
Add WhatsApp login support for better usability.,Feature Request
Need offline access support for improved experience.,Feature Request
"Fast and responsive interface, please resolve this for all users.",Compliment
I love the UI design. Because it affects daily usage.,Compliment
I noticed that great improvement after the update during peak usage time.,Compliment
Please include voice search and it should be fixed for all users.,Feature Request
Navigation is very simple and it should be fixed especially on Android devices.,Compliment
Add payment history section. As soon as possible.,Feature Request
I noticed that need offline access support as soon as possible.,Feature Request
"Payment gateway failed again, please resolve this because it affects daily usage.",Complaint
The app freezes frequently. For better usability.,Complaint
Very smooth experience and it should be fixed because it affects daily usage.,Compliment
The app freezes frequently. Especially on android devices.,Complaint
Need offline access support. For better usability.,Feature Request
I noticed that customer support was helpful for better usability.,Compliment
I really enjoy using this app. And it happens every day.,Compliment
"The application is amazing, please resolve this as soon as possible.",Compliment
Search functionality is broken. During peak usage time.,Complaint
Profile update is failing for better usability.,Complaint
Add cloud backup feature. And it happens every day.,Feature Request
Everything works seamlessly. For improved experience.,Compliment
"OTP is not received on time, please resolve this which is very frustrating.",Complaint
The features are very useful and it should be fixed for improved experience.,Compliment
I noticed that fantastic user experience for all users.,Compliment
Need offline access support for improved experience.,Feature Request
Login page is not working properly and it should be fixed for all users.,Complaint
I noticed that please add dark mode especially on Android devices.,Feature Request
The app works perfectly. For better usability.,Compliment
Add WhatsApp login support and it should be fixed and it happens every day.,Feature Request
Search functionality is broken. During peak usage time.,Complaint
I noticed that video playback keeps buffering during peak usage time.,Complaint
Add WhatsApp login support and it should be fixed and it happens every day.,Feature Request
Profile update is failing and it should be fixed especially on Android devices.,Complaint
"Fast and responsive interface, please resolve this in the next update.",Compliment
"The application is amazing, please resolve this which is very frustrating.",Compliment
Please include voice search. For improved experience.,Feature Request
I noticed that the latest update introduced bugs for better usability.,Complaint
I noticed that need multilingual support because it affects daily usage.,Feature Request
"Everything works seamlessly, please resolve this especially on Android devices.",Compliment
Please include voice search for better usability.,Feature Request
Add payment history section and it should be fixed because it affects daily usage.,Feature Request
Need multilingual support which is very frustrating.,Feature Request
Fantastic user experience and it should be fixed because it affects daily usage.,Compliment
"OTP is not received on time, please resolve this for improved experience.",Complaint
Please add dark mode for better usability.,Feature Request
"Navigation is very simple, please resolve this which is very frustrating.",Compliment
"Add WhatsApp login support, please resolve this for improved experience.",Feature Request
Add fingerprint authentication and it should be fixed during peak usage time.,Feature Request
"OTP is not received on time, please resolve this for all users.",Complaint
The app crashes when I open it in the next update.,Complaint
"Need calendar integration, please resolve this which is very frustrating.",Feature Request
Customer support was helpful and it should be fixed as soon as possible.,Compliment
I really enjoy using this app and it should be fixed for all users.,Compliment
Need calendar integration and it happens every day.,Feature Request
I noticed that add cloud backup feature for better usability.,Feature Request
I noticed that notifications are delayed and it happens every day.,Complaint
I cannot upload my documents. Which is very frustrating.,Complaint
"The latest update introduced bugs, please resolve this because it affects daily usage.",Complaint
I noticed that need multilingual support during peak usage time.,Feature Request
Notifications are delayed as soon as possible.,Complaint
"The app works perfectly, please resolve this because it affects daily usage.",Compliment
I noticed that add cloud backup feature especially on Android devices.,Feature Request
Notifications are delayed. Because it affects daily usage.,Complaint
"The app freezes frequently, please resolve this and it happens every day.",Complaint
I noticed that the features are very useful as soon as possible.,Compliment
The design looks professional and it should be fixed during peak usage time.,Compliment
"Please include voice search, please resolve this for improved experience.",Feature Request
Customer support never replies and it should be fixed during peak usage time.,Complaint
"Excellent performance overall, please resolve this during peak usage time.",Compliment
Please include voice search and it should be fixed which is very frustrating.,Feature Request
"Login page is not working properly, please resolve this as soon as possible.",Complaint
The app freezes frequently. For improved experience.,Complaint
"The app crashes when I open it, please resolve this especially on Android devices.",Complaint
The design looks professional and it should be fixed as soon as possible.,Compliment
Video playback keeps buffering. Because it affects daily usage.,Complaint
I noticed that i love the ui design for better usability.,Compliment
Excellent performance overall. In the next update.,Compliment
The application is too slow and it should be fixed because it affects daily usage.,Complaint
I noticed that otp is not received on time for better usability.,Complaint
Customer support never replies. In the next update.,Complaint
Please provide chat support and it should be fixed during peak usage time.,Feature Request
OTP is not received on time for better usability.,Complaint
"The application is amazing, please resolve this during peak usage time.",Compliment
Need offline access support for improved experience.,Feature Request
The app crashes when I open it. Because it affects daily usage.,Complaint
"I cannot upload my documents, please resolve this during peak usage time.",Complaint
I noticed that otp is not received on time as soon as possible.,Complaint
Excellent performance overall and it should be fixed for better usability.,Compliment
The features are very useful. And it happens every day.,Compliment
Add fingerprint authentication. In the next update.,Feature Request
"Need personalized recommendations, please resolve this for all users.",Feature Request
"Everything works seamlessly, please resolve this because it affects daily usage.",Compliment
I noticed that customer support was helpful for all users.,Compliment
I noticed that face authentication is not working and it happens every day.,Complaint
The app freezes frequently and it should be fixed as soon as possible.,Complaint
I noticed that the app freezes frequently during peak usage time.,Complaint
"The design looks professional, please resolve this during peak usage time.",Compliment
Please provide chat support for all users.,Feature Request
Please provide chat support. For all users.,Feature Request
Customer support never replies and it should be fixed and it happens every day.,Complaint
Profile update is failing. For improved experience.,Complaint
OTP is not received on time. As soon as possible.,Complaint
I noticed that great improvement after the update which is very frustrating.,Compliment
"The app crashes when I open it, please resolve this for all users.",Complaint
"Excellent performance overall, please resolve this which is very frustrating.",Compliment
Need offline access support and it should be fixed especially on Android devices.,Feature Request
I noticed that the app freezes frequently for all users.,Complaint
Navigation is very simple and it should be fixed especially on Android devices.,Compliment
Need offline access support and it should be fixed for all users.,Feature Request
Customer support was helpful for better usability.,Compliment
Add export to PDF option and it should be fixed because it affects daily usage.,Feature Request
Everything works seamlessly and it should be fixed for improved experience.,Compliment
Need multilingual support for better usability.,Feature Request
I noticed that the app works perfectly as soon as possible.,Compliment
Video playback keeps buffering and it should be fixed especially on Android devices.,Complaint
Add fingerprint authentication which is very frustrating.,Feature Request
I noticed that add fingerprint authentication for all users.,Feature Request
Need offline access support and it should be fixed because it affects daily usage.,Feature Request
Fantastic user experience. In the next update.,Compliment
Very smooth experience for better usability.,Compliment
I noticed that profile update is failing during peak usage time.,Complaint
The application is amazing. During peak usage time.,Compliment
Need personalized recommendations during peak usage time.,Feature Request
Notifications are delayed because it affects daily usage.,Complaint
"Need custom notification settings, please resolve this in the next update.",Feature Request
OTP is not received on time. During peak usage time.,Complaint
The app works perfectly for better usability.,Compliment
"Fast and responsive interface, please resolve this for all users.",Compliment
Please provide chat support and it should be fixed especially on Android devices.,Feature Request
Navigation is very simple and it should be fixed for improved experience.,Compliment
Search functionality is broken. Especially on android devices.,Complaint
Need personalized recommendations and it should be fixed and it happens every day.,Feature Request
I noticed that add cloud backup feature and it happens every day.,Feature Request
I noticed that very smooth experience for improved experience.,Compliment
"Profile update is failing, please resolve this during peak usage time.",Complaint
I noticed that this app saves a lot of time especially on Android devices.,Compliment
I noticed that need multilingual support for improved experience.,Feature Request
"Need personalized recommendations, please resolve this in the next update.",Feature Request
OTP is not received on time because it affects daily usage.,Complaint
The app crashes when I open it. Because it affects daily usage.,Complaint
The application is too slow and it should be fixed during peak usage time.,Complaint
Need personalized recommendations and it should be fixed for better usability.,Feature Request
Face authentication is not working for all users.,Complaint
Profile update is failing and it should be fixed especially on Android devices.,Complaint
"I love the UI design, please resolve this for improved experience.",Compliment
I noticed that this app saves a lot of time for all users.,Compliment
Payment gateway failed again and it should be fixed for better usability.,Complaint
Excellent performance overall for better usability.,Compliment
I noticed that please add file sharing feature for better usability.,Feature Request
Great improvement after the update. And it happens every day.,Compliment
"Need custom notification settings, please resolve this especially on Android devices.",Feature Request
Need custom notification settings and it should be fixed for all users.,Feature Request
I noticed that need personalized recommendations for better usability.,Feature Request
I noticed that i love the ui design during peak usage time.,Compliment
Need personalized recommendations in the next update.,Feature Request
Please add file sharing feature and it should be fixed for better usability.,Feature Request
"Please add file sharing feature, please resolve this as soon as possible.",Feature Request
Need calendar integration and it should be fixed for better usability.,Feature Request
Everything works seamlessly and it should be fixed for improved experience.,Compliment
Please add file sharing feature during peak usage time.,Feature Request
Notifications are delayed for improved experience.,Complaint
Payment gateway failed again and it should be fixed in the next update.,Complaint
Search functionality is broken. During peak usage time.,Complaint
I noticed that i cannot upload my documents because it affects daily usage.,Complaint
Need calendar integration and it should be fixed which is very frustrating.,Feature Request
Add WhatsApp login support which is very frustrating.,Feature Request
The application is too slow. Because it affects daily usage.,Complaint
I noticed that need calendar integration and it happens every day.,Feature Request
I noticed that the application is too slow for improved experience.,Complaint
I noticed that add fingerprint authentication especially on Android devices.,Feature Request
The app crashes when I open it. Especially on android devices.,Complaint
I noticed that please include voice search in the next update.,Feature Request
I noticed that everything works seamlessly for improved experience.,Compliment
"Great improvement after the update, please resolve this in the next update.",Compliment
"The app freezes frequently, please resolve this and it happens every day.",Complaint
"Great improvement after the update, please resolve this which is very frustrating.",Compliment
Add payment history section in the next update.,Feature Request
"This app saves a lot of time, please resolve this for all users.",Compliment
The app freezes frequently and it should be fixed because it affects daily usage.,Complaint
"Add export to PDF option, please resolve this for improved experience.",Feature Request
"Need calendar integration, please resolve this for improved experience.",Feature Request
I noticed that otp is not received on time in the next update.,Complaint
The features are very useful and it should be fixed which is very frustrating.,Compliment
"Navigation is very simple, please resolve this during peak usage time.",Compliment
The application is amazing. Especially on android devices.,Compliment
Add cloud backup feature and it should be fixed especially on Android devices.,Feature Request
Customer support was helpful. For improved experience.,Compliment
I noticed that the features are very useful as soon as possible.,Compliment
Great improvement after the update and it should be fixed in the next update.,Compliment
Navigation is very simple. Which is very frustrating.,Compliment
Add WhatsApp login support. Because it affects daily usage.,Feature Request
Add cloud backup feature because it affects daily usage.,Feature Request
I cannot upload my documents. And it happens every day.,Complaint
Customer support never replies. During peak usage time.,Complaint
The features are very useful and it should be fixed and it happens every day.,Compliment
I noticed that profile update is failing especially on Android devices.,Complaint
"Payment gateway failed again, please resolve this for improved experience.",Complaint
Please include voice search and it should be fixed and it happens every day.,Feature Request
I noticed that i cannot upload my documents during peak usage time.,Complaint
Fast and responsive interface. For better usability.,Compliment
The application is amazing in the next update.,Compliment
Add WhatsApp login support and it should be fixed and it happens every day.,Feature Request
I really enjoy using this app. For better usability.,Compliment
The latest update introduced bugs and it should be fixed as soon as possible.,Complaint
"Login page is not working properly, please resolve this especially on Android devices.",Complaint
"Navigation is very simple, please resolve this during peak usage time.",Compliment
Great improvement after the update especially on Android devices.,Compliment
"Notifications are delayed, please resolve this as soon as possible.",Complaint
I really enjoy using this app. And it happens every day.,Compliment
I cannot upload my documents. Because it affects daily usage.,Complaint
"Add WhatsApp login support, please resolve this for all users.",Feature Request
